ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Time Spent,Simulation
0,(39.4, 1.5, 16.7),(-11.3, 1.5, -13.6),NonCAV,0,0
1,(23.1, 1.5, -37.8),(-15.0, 1.5, -10.1),NonCAV,0,0
2,(-13.1, 1.5, -10.1),(-12.8, 1.5, -37.8),CAV,0,0
3,(42.9, 1.5, 17.8),(-12.8, 1.5, -37.8),NonCAV,0,0
4,(-11.6, 1.5, 38.9),(-40.9, 1.5, -39.5),CAV,0,0
