ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(21.1, 1.5, 4.8),(-15.2, 1.4, 37.0),NonCAV,0,68.48081,65.21555,73.79732
1,(7.8, 1.5, 40.3),(-11.6, 1.5, 38.9),CAV,0,131.0721,131.3726,122.2206
2,(-23.0, 1.5, -13.7),(-39.5, 1.5, -13.6),CAV,0,0,0,0,0
3,(29.7, 1.5, 38.6),(-15.0, 1.5, -10.1),NonCAV,0,55.37296,62.60451,54.78936
4,(-15.0, 1.5, -24.5),(20.4, 1.5, -42.0),NonCAV,0,127.7941,158.2031,154.0983
5,(42.9, 1.5, 25.2),(-11.6, 1.5, 38.9),CAV,0,143.059,139.126,0
6,(-12.7, 1.4, 28.3),(21.1, 1.5, -10.4),CAV,0,62.51479,60.80968,48.02443
7,(-13.0, 1.5, -3.6),(19.7, 1.5, -13.7),CAV,0,107.6074,85.28596,93.39801
8,(40.7, 1.5, 30.3),(19.8, 1.5, -11.6),CAV,0,26.58659,33.43116,30.77221
9,(-15.0, 1.5, -30.8),(-11.6, 1.5, 38.9),NonCAV,0,49.83152,62.11489,55.37592
10,(21.1, 1.5, 3.2),(21.1, 1.5, 36.8),NonCAV,0,86.13068,95.73821,75.38992
11,(30.7, 1.5, 16.7),(-13.1, 1.5, -10.1),NonCAV,0,66.62424,31.15691,58.30703
12,(-12.9, 1.5, 3.6),(-11.8, 1.5, -39.7),CAV,0,97.7198,65.54327,73.42046
13,(11.3, 1.5, 14.7),(-11.7, 1.5, -41.7),NonCAV,0,83.42803,70.70187,97.87433
14,(-29.0, 1.5, -13.6),(20.4, 1.5, -39.8),NonCAV,0,66.62594,44.87848,42.21276
15,(0.8, 1.5, -41.8),(-11.7, 1.5, -41.7),NonCAV,0,0,0,0,0
16,(3.0, 1.5, -13.7),(-16.4, 1.5, -13.7),CAV,0,60.76243,70.601,71.13984
17,(-42.7, 1.5, 36.1),(19.7, 1.5, -13.7),NonCAV,0,60.41661,50.9933,75.87988
18,(35.2, 1.5, -41.8),(23.7, 1.5, -39.6),NonCAV,0,115.7054,151.3813,111.0613
19,(-29.9, 1.5, 38.6),(-11.4, 1.5, -11.6),CAV,0,72.65003,68.73238,108.0698
20,(10.4, 1.5, 16.6),(22.9, 1.5, 17.9),NonCAV,0,91.04462,79.73187,87.57926
21,(-26.2, 1.5, -41.5),(40.8, 1.5, 17.4),NonCAV,0,87.97151,83.60927,142.0153
22,(-15.0, 1.5, 2.9),(-16.6, 1.5, -11.8),NonCAV,0,12.05565,6.982527,16.86968
23,(-12.8, 1.4, 30.0),(-12.6, 1.3, 17.9),CAV,0,0,0,0,0
24,(-15.1, 1.4, 26.0),(19.8, 1.5, 40.3),CAV,0,42.75003,53.24492,48.18833
25,(-15.1, 1.4, 28.2),(-16.4, 1.5, -13.7),CAV,0,69.4327,65.52094,63.50923
26,(32.6, 1.5, 38.6),(-13.1, 1.5, -15.2),NonCAV,1,74.2094,79.41737,0
27,(28.7, 1.5, 14.5),(-12.0, 1.5, 16.7),CAV,0,130.6122,152.4911,172.638
28,(-25.3, 1.5, -41.6),(39.8, 1.5, 14.4),NonCAV,0,53.58985,62.07539,87.78959
29,(9.7, 1.5, 40.3),(21.1, 1.5, -14.9),NonCAV,0,81.74055,77.77644,88.99852
30,(-15.0, 1.5, 1.8),(19.9, 1.5, 14.7),CAV,0,0,0,0,0
31,(-2.9, 1.5, 40.4),(-16.6, 1.5, -11.8),CAV,0,141.2997,130.6624,0
32,(35.9, 1.5, -39.5),(-42.6, 1.5, 40.6),CAV,0,99.03011,92.92982,86.33289
33,(31.2, 1.5, 14.4),(-12.8, 1.4, 37.0),CAV,0,143.9821,188.6183,179.8138
34,(40.7, 1.5, 29.9),(-12.8, 1.4, 37.0),NonCAV,0,43.45892,45.10432,49.88056
35,(-42.9, 1.5, 10.8),(-12.8, 1.4, 37.0),NonCAV,0,123.0659,134.765,127.8771
36,(-41.0, 1.5, -23.0),(-42.8, 1.5, 22.4),CAV,0,118.7501,149.0814,140.0329
37,(-15.1, 1.4, 22.9),(-41.2, 1.5, 21.9),CAV,0,44.46715,42.98646,44.83252
38,(-43.0, 1.5, -1.9),(-15.2, 1.4, 37.0),NonCAV,0,0,0,0,0
39,(-31.3, 1.5, -39.5),(21.1, 1.5, -14.9),CAV,0,73.87466,55.11616,0
40,(-13.0, 1.5, -0.3),(-15.0, 1.5, 13.7),CAV,0,82.78323,86.0621,78.74139
41,(-43.1, 1.5, -29.3),(-16.0, 1.5, 40.4),NonCAV,0,85.32607,127.1757,106.5992
42,(21.1, 1.5, -24.3),(21.1, 1.5, 36.8),NonCAV,0,94.04769,95.09453,99.38596
43,(28.0, 1.5, 16.7),(-11.3, 1.5, -13.6),NonCAV,0,63.63131,57.6018,75.22488
44,(-40.9, 1.5, -31.8),(23.7, 1.5, -39.6),CAV,0,107.7377,129.9521,0
45,(-13.0, 1.5, -3.8),(-13.1, 1.5, -15.2),CAV,0,99.41304,79.46401,89.27448
46,(-30.2, 1.5, 38.6),(-42.6, 1.5, 40.6),CAV,0,97.03065,138.8978,100.105
47,(36.3, 1.5, 38.6),(21.1, 1.5, 17.9),NonCAV,0,78.16469,90.22803,83.49174
48,(41.5, 1.5, -24.3),(-15.8, 1.5, -41.7),NonCAV,0,81.27777,73.64817,87.4634
49,(8.0, 1.5, 16.6),(-15.0, 1.5, 13.7),CAV,0,11.12919,11.12561,11.05463
50,(32.3, 1.5, -39.5),(-11.3, 1.5, 14.7),NonCAV,0,52.24493,44.52517,42.94753
51,(-15.0, 1.5, -24.3),(21.1, 1.5, 36.8),NonCAV,1,87.94656,80.60551,0
52,(23.1, 1.5, 5.2),(-12.6, 1.3, 17.9),NonCAV,0,60.11444,66.80988,66.82475
53,(-27.3, 1.5, -13.6),(21.1, 1.5, 17.9),NonCAV,0,95.45901,94.20426,101.7958
54,(-41.1, 1.5, -0.2),(21.1, 1.5, -10.4),CAV,0,69.53211,70.45067,63.70695
55,(-15.0, 1.5, -28.7),(-15.0, 1.5, -10.1),NonCAV,0,80.52688,76.60245,85.85201
56,(-35.5, 1.5, 40.5),(20.5, 1.5, 38.7),CAV,0,120.3409,130.9448,140.1835
57,(-43.1, 1.5, -31.6),(23.4, 1.5, -14.9),CAV,0,125.045,122.5466,122.2234
58,(0.2, 1.5, 14.7),(-11.4, 1.5, -11.6),NonCAV,0,46.33202,0,0
59,(-34.6, 1.5, -41.4),(19.7, 1.5, -13.7),CAV,0,53.7952,35.34193,61.27301
