ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(-138.3, 7.3, -192.5),(-7.6, 7.3, -38.8),CAV,0,0,0,0,0
1,(215.8, 7.3, -204.6),(57.7, 7.3, -225.5),CAV,0,343.164,0,0
2,(140.9, 7.3, 209.8),(-23.3, 7.3, -41.7),CAV,0,392.1884,0,0
3,(-95.4, 7.3, 229.0),(-59.8, 7.3, -190.7),NonCAV,0,307.3123,0,0
4,(-99.0, 7.3, -86.9),(-138.1, 7.3, -44.7),CAV,0,49.37214,0,0
5,(-107.4, 7.3, -204.1),(-147.0, 7.3, -42.6),CAV,0,405.34,0,0
6,(-6.7, 7.3, -46.7),(40.2, 7.3, -240.6),CAV,0,0,0,0,0
7,(-84.5, 7.3, 229.0),(-84.5, 7.3, -50.0),NonCAV,0,208.069,0,0
8,(-117.6, 7.3, -199.6),(-72.7, 7.3, -47.7),CAV,0,258.6353,0,0
9,(109.6, 7.3, -115.8),(25.7, 7.3, -241.0),NonCAV,0,127.8123,0,0
10,(-77.0, 7.3, 229.1),(-40.2, 7.3, -183.1),NonCAV,0,296.6203,0,0
11,(62.6, 7.3, -26.7),(-47.5, 7.3, -197.4),CAV,0,152.3304,0,0
12,(181.8, 7.3, -198.3),(-31.5, 7.3, -243.5),CAV,0,464.8103,0,0
13,(39.3, 7.3, -248.7),(98.5, 7.3, -32.2),NonCAV,0,129.4975,0,0
14,(217.5, 7.3, -203.3),(-127.0, 7.3, -251.0),CAV,0,433.4868,0,0
15,(-63.3, 7.3, -206.5),(-10.6, 7.3, -29.0),CAV,0,82.41547,0,0
16,(-26.7, 7.3, -166.3),(-148.4, 7.3, -111.2),NonCAV,0,139.1131,0,0
17,(-40.5, 7.3, -37.7),(110.4, 7.3, 205.8),NonCAV,0,203.1338,0,0
18,(-113.0, 7.3, -206.7),(-20.0, 7.3, -43.6),NonCAV,0,122.8451,0,0
19,(-57.3, 7.3, -238.8),(-147.3, 7.3, 228.8),CAV,0,323.376,0,0
20,(-8.1, 7.3, 67.4),(-20.8, 7.3, 217.7),CAV,0,402.0182,0,0
21,(-137.5, 7.3, 55.1),(45.3, 7.3, -236.9),NonCAV,0,353.3677,0,0
22,(76.3, 7.3, -195.1),(36.1, 7.3, -235.9),NonCAV,0,26.0337,0,0
23,(-56.8, 7.3, -45.7),(-47.5, 7.3, -197.4),CAV,0,159.7157,0,0
24,(-5.8, 7.3, -49.9),(-23.3, 7.3, -41.7),NonCAV,0,64.93656,0,0
25,(208.6, 7.3, 1.1),(-134.3, 7.3, -48.5),NonCAV,0,249.452,0,0
26,(-145.5, 7.3, -95.7),(-77.3, 7.3, -224.3),CAV,0,249.9253,0,0
27,(69.1, 7.3, -31.7),(44.5, 7.3, -224.1),NonCAV,0,89.56905,0,0
28,(-18.5, 7.3, -53.8),(-84.5, 7.3, -50.0),CAV,0,0,0,0,0
29,(-19.4, 7.3, -48.3),(108.7, 7.3, -31.0),CAV,0,253.9633,0,0
