ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(-2.4, 0.0, 0.8),(-2.8, 0.0, 43.1),CAV,0,19.2639,17.61851,18.79342
1,(-2.4, 0.0, -0.7),(-2.8, 0.0, 43.1),NonCAV,0,26.24226,19.22718,0
2,(-2.4, 0.0, 0.8),(-2.8, 0.0, 43.1),NonCAV,0,25.66116,18.55077,19.69885
3,(-2.4, 0.0, 1.2),(-2.8, 0.0, 43.1),CAV,0,25.85182,18.37571,19.54324
4,(-2.4, 0.0, -1.0),(-2.8, 0.0, 43.1),CAV,0,26.36708,19.33656,0
5,(-2.4, 0.0, 1.6),(-2.8, 0.0, 43.1),NonCAV,0,24.92142,18.14966,0
6,(-2.4, 0.0, 0.8),(-2.8, 0.0, 43.1),NonCAV,0,25.40363,18.55279,0
7,(-2.4, 0.0, -2.4),(-2.8, 0.0, 43.1),CAV,0,83.16734,37.66433,38.81073
8,(-2.4, 0.0, -1.0),(-2.8, 0.0, 43.1),NonCAV,0,26.12082,19.33178,0
9,(-2.3, 0.0, -3.0),(-2.8, 0.0, 43.1),CAV,0,27.61382,20.21109,0
10,(-2.4, 0.0, -1.6),(-2.8, 0.0, 43.1),NonCAV,0,34.02385,19.61415,0
11,(-2.4, 0.0, 1.3),(-2.8, 0.0, 43.1),CAV,0,25.52722,18.32036,0
12,(-2.4, 0.0, -1.2),(-2.8, 0.0, 43.1),CAV,0,33.53791,39.29525,0
13,(-2.4, 0.0, 1.0),(-2.8, 0.0, 43.1),CAV,0,25.33964,18.37345,19.53441
14,(-2.4, 0.0, -1.3),(-2.8, 0.0, 43.1),CAV,0,29.26599,19.4407,0
15,(-2.3, 0.0, -3.3),(-2.8, 0.0, 43.1),CAV,0,41.04166,20.36795,0
16,(-2.4, 0.0, -1.6),(-2.8, 0.0, 43.1),NonCAV,0,27.4875,19.61292,0
17,(-2.4, 0.0, -0.6),(-2.8, 0.0, 43.1),CAV,0,32.99896,19.15741,0
18,(-2.4, 0.0, -2.3),(-2.8, 0.0, 43.1),NonCAV,0,33.65338,19.89078,0
19,(-2.4, 0.0, -2.9),(-2.8, 0.0, 43.1),NonCAV,0,34.69545,20.19194,0
20,(-2.4, 0.0, -2.2),(-2.8, 0.0, 43.1),NonCAV,0,27.50245,19.87662,0
21,(-2.4, 0.0, -1.9),(-2.8, 0.0, 43.1),CAV,0,27.03787,19.75215,0
22,(-2.4, 0.0, 0.5),(-2.8, 0.0, 43.1),NonCAV,0,19.95466,18.71225,19.88781
23,(-2.3, 0.0, -3.6),(-2.8, 0.0, 43.1),CAV,0,71.66426,25.55174,0
24,(-2.4, 0.0, 1.3),(-2.8, 0.0, 43.1),NonCAV,0,25.43892,18.34927,0
25,(-2.4, 0.0, -2.8),(-2.8, 0.0, 43.1),NonCAV,0,32.85817,20.14676,0
26,(-2.4, 0.0, -1.1),(-2.8, 0.0, 43.1),CAV,0,26.35629,19.43589,0
27,(-2.4, 0.0, 0.5),(-2.8, 0.0, 43.1),CAV,0,27.07865,18.68915,19.86899
28,(-2.4, 0.0, -1.3),(-2.8, 0.0, 43.1),NonCAV,0,33.59785,19.51321,0
29,(-2.4, 0.0, -2.0),(-2.8, 0.0, 43.1),CAV,0,27.06255,19.77286,0
30,(-2.4, 0.0, -0.7),(-2.8, 0.0, 43.1),CAV,0,25.94269,19.20815,0
31,(-2.4, 0.0, -0.5),(-2.8, 0.0, 43.1),CAV,0,32.99495,19.11086,0
32,(-2.4, 0.0, 1.7),(-2.8, 0.0, 43.1),NonCAV,0,24.60149,18.11703,19.28044
33,(-2.4, 0.0, -0.2),(-2.8, 0.0, 43.1),CAV,0,25.641,19.02653,0
34,(-2.4, 0.0, 1.0),(-2.8, 0.0, 43.1),CAV,0,32.43728,18.40602,19.59756
35,(-2.4, 0.0, -0.7),(-2.8, 0.0, 43.1),CAV,0,25.93549,19.1748,0
36,(-2.4, 0.0, -0.5),(-2.8, 0.0, 43.1),CAV,0,25.91624,19.17271,0
37,(-2.4, 0.0, 0.0),(-2.8, 0.0, 43.1),CAV,0,20.24031,18.91519,20.12837
38,(-2.4, 0.0, -2.3),(-2.8, 0.0, 43.1),NonCAV,0,26.55504,19.95487,0
39,(-2.4, 0.0, 1.7),(-2.8, 0.0, 43.1),CAV,0,24.48559,18.11174,19.2575
40,(-2.4, 0.0, -2.8),(-2.8, 0.0, 43.1),NonCAV,0,26.78118,20.1487,0
41,(-2.4, 0.0, -0.3),(-2.8, 0.0, 43.1),NonCAV,0,25.70595,19.06461,0
42,(-2.4, 0.0, 0.2),(-2.8, 0.0, 43.1),CAV,0,20.08311,18.83529,20.00113
43,(-2.4, 0.0, -1.2),(-2.8, 0.0, 43.1),CAV,0,26.48197,19.4112,0
44,(-2.4, 0.0, -0.4),(-2.8, 0.0, 43.1),CAV,0,26.01399,19.05865,0
45,(-2.3, 0.0, -3.2),(-2.8, 0.0, 43.1),CAV,0,28.02406,20.32798,0
46,(-2.3, 0.0, -3.6),(-2.8, 0.0, 43.1),NonCAV,0,73.64198,83.53846,0
47,(-2.4, 0.0, 1.1),(-2.8, 0.0, 43.1),NonCAV,0,25.77703,18.41076,19.58489
48,(-2.4, 0.0, 1.4),(-2.8, 0.0, 43.1),CAV,0,32.41499,18.25076,0
49,(-2.3, 0.0, -3.3),(-2.8, 0.0, 43.1),CAV,0,49.85435,20.39484,0
