ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Time Spent,Simulation
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,241,77
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,247,55
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,249,42
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,250,80
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,251,66
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,260,33
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,263,2
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,264,1
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,268,11
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,269,16
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,270,14
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,273,13
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,274,20
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,277,32
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,279,48
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,286,33
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,287,61
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,297,10
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,310,61
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,315,9
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,316,70
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,322,24
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,326,35
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,333,62
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,341,4
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,347,67
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,348,12
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,350,52
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,355,78
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,372,55
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,376,99
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,379,3
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,390,51
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,393,11
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,394,69
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,396,16
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,399,30
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,402,79
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,403,67
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,404,71
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,405,74
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,408,65
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,409,50
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,410,3
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,413,98
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,414,88
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,418,69
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,422,46
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,427,70
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,434,49
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,443,52
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,444,43
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,446,2
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,448,32
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,455,3
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,457,41
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,458,36
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,467,19
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,470,98
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,480,21
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,482,27
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,487,54
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,488,40
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,490,47
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,491,69
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,496,71
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,501,86
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,505,74
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,506,84
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,508,89
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,510,52
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,513,2
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,514,64
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,517,89
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,518,22
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,519,23
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,520,3
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,525,91
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,526,21
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,530,93
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,533,87
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,535,95
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,538,94
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,551,17
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,557,79
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,561,58
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,564,25
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,566,30
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,568,63
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,573,79
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,575,4
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,582,90
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,585,90
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,586,68
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,587,40
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,588,46
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,592,56
0,(-42.8, 1.5, 22.4),(41.0, 1.5, 13.4),CAV,595,59
