ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Simulation,Time Spent_Norm,Time Spent_CAV,Time Spent_Mixed
0,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),CAV,0,17.11895,15.65443,24.13001
1,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),CAV,0,17.52989,30.15653,27.16486
2,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),CAV,0,17.6168,20.95148,22.65895
3,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),CAV,0,17.69981,21.01452,25.52467
4,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),NonCAV,0,27.0327,21.24932,25.55516
5,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),NonCAV,0,27.10227,23.54955,25.62857
6,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),CAV,0,27.15721,23.01431,25.75482
7,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),CAV,0,27.21864,22.55572,25.80903
8,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),NonCAV,0,34.45773,22.47548,25.85841
9,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),NonCAV,0,34.52371,25.31169,25.86343
10,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),CAV,0,28.93419,24.97208,25.91831
11,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),NonCAV,0,28.58251,24.20395,36.07867
12,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),CAV,0,35.75974,23.54098,26.76903
13,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),NonCAV,0,35.8147,35.67401,22.82301
14,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),CAV,0,29.2995,26.74798,22.59788
15,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),CAV,0,28.58718,21.51024,25.48283
16,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),NonCAV,0,35.6938,21.30558,25.3964
17,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),NonCAV,0,54.1033,23.70835,25.48168
18,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),CAV,0,57.99628,23.35312,25.53922
19,(-2.1, 1.2, -6.6),(-2.8, 0.0, 43.1),NonCAV,0,27.58289,23.33297,26.81955
